Model (LALM),Method,Gap,Rel.,Gen.,,,,Audio Loc.,,,,,Text Loc.,Port.,,,,,,,,,,,
,,,,Avg.,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,,,,,,,,,,,,
,,4,16.00 (15.78),16.00 (13.03),14.00 (16.47),22.00 (19.89),12.00 (13.98),18.65 (8.71),12.00 (21.50),16.28 (16.70),26.00 (23.19),20.00 (21.08),22.00 (19.89),8.00 (10.33),16,,,,,,,,,,
,,5,10.00 (14.14),13.33 (8.89),12.00 (13.98),14.00 (9.66),14.00 (9.66),12.95 (6.29),8.00 (10.33),13.95 (12.20),18.00 (17.51),12.00 (10.33),16.00 (15.78),2.00 (6.32),10,,,,,,,,,,
,UnKE,0,98.00,88.67,94.00,92.00,80.00,68.39,95.24,64.86,58.33,68.96,44.00,22.00,98.00,,,,,,,,,,
,,1,88.00,77.33,82.00,84.00,66.00,61.65,95.24,51.35,50.00,64.36,50.00,24.00,88.00,,,,,,,,,,
,,2,80.00,69.33,78.00,76.00,54.00,59.58,95.24,45.95,54.17,59.77,32.65,18.00,80.00,,,,,,,,,,
,,3,82.00,66.67,68.00,72.00,60.00,56.48,95.24,37.84,47.92,59.77,12.24,12.00,82.00,,,,,,,,,,
,,4,80.00,64.00,66.00,72.00,54.00,53.36,95.24,35.14,47.92,54.02,16.00,14.00,80.00,,,,,,,,,,
,,5,72.00,58.00,60.00,66.00,48.00,48.70,95.24,29.73,45.83,47.13,8.00,16.00,72.00,,,,,,,,,,
,IE-IKE,0,56.00 (22.71),61.33 (20.80),60.00 (24.94),62.00 (22.01),62.00 (22.01),37.82 (9.52),28.00 (10.33),23.26 (15.31),64.00 (27.97),34.00 (21.19),84.00 (20.66),32.00 (25.30),56,,,,,,,,,-0.1006734083,
,,1,52.00 (21.50),52.00 (18.80),50.00 (19.44),52.00 (21.50),54.00 (21.19),39.38 (8.67),38.00 (19.89),25.58 (17.55),54.00 (16.47),38.00 (23.94),82.00 (17.51),28.00 (23.48),52,,,,,,,,,,
,,2,50.00 (27.08),47.33 (18.97),50.00 (23.57),46.00 (23.19),46.00 (18.97),40.93 (12.07),48.00 (27.00),27.91 (11.56),52.00 (19.32),34.00 (21.19),76.00 (20.66),30.00 (23.57),50,,,,,,,,,,
,,3,42.00 (19.89),40.67 (17.05),38.00 (17.51),44.00 (24.59),40.00 (16.33),39.38 (11.74),44.00 (27.97),30.23 (20.34),50.00 (17.00),32.00 (23.48),78.00 (19.89),34.00 (23.19),42,,,,,,,,,,
,,4,38.00 (19.89),40.00 (18.59),40.00 (23.09),38.00 (19.89),42.00 (19.89),38.34 (10.58),54.00 (29.89),23.26 (25.50),42.00 (22.01),32.00 (25.30),82.00 (17.51),30.00 (21.60),38,,,,,,,,,,
,,5,38.00 (19.89),41.33 (10.80),42.00 (6.32),36.00 (18.38),46.00 (13.50),42.49 (7.52),52.00 (25.30),30.23 (26.29),46.00 (18.97),40.00 (21.08),74.00 (21.19),30.00 (21.60),38,,,,,,,,,,
,I-IKE,0,22.00 (11.35),9.33 (6.44),18.00 (14.76),6.00 (9.66),4.00 (8.43),84.97 (5.28),90.00 (14.14),95.35 (9.56),88.00 (13.98),68.00 (25.30),74.00 (16.47),38.00 (22.01),22,,,,,,,,,-0.3882901374,
,,1,22.00 (11.35),7.33 (5.84),16.00 (12.65),4.00 (8.43),2.00 (6.32),86.53 (8.27),94.00 (13.50),93.02 (11.35),92.00 (10.33),68.00 (25.30),74.00 (16.47),34.00 (21.19),22,,,,,,,,,,
,,2,24.00 (12.65),7.33 (5.84),16.00 (12.65),4.00 (8.43),2.00 (6.32),87.05 (7.21),92.00 (13.98),95.35 (10.54),92.00 (10.33),70.00 (25.39),80.00 (18.86),34.00 (21.19),24,,,,,,,,,,
,,3,22.00 (14.76),5.33 (4.22),16.00 (12.65),0.00 (0.00),0.00 (0.00),87.05 (7.12),92.00 (13.98),95.35 (10.54),92.00 (10.33),70.00 (23.57),80.00 (16.33),36.00 (20.66),22,,,,,,,,,,
,,4,22.00 (17.51),6.00 (4.92),18.00 (14.76),0.00 (0.00),0.00 (0.00),87.05 (7.94),92.00 (13.98),95.35 (10.54),92.00 (10.33),70.00 (25.39),76.00 (15.78),32.00 (19.32),22,,,,,,,,,,
,,5,18.00 (14.76),6.67 (5.44),18.00 (14.76),2.00 (6.32),0.00 (0.00),86.01 (7.35),92.00 (10.33),90.70 (11.74),92.00 (10.33),70.00 (25.39),78.00 (17.51),32.00 (19.32),18,,,,,,,,,,
,WISE,0,100.00,74.67,86.00,82.00,56.00,88.08,100.00,94.59,91.67,80.46,90.00,24.00,100.00,24.00,,,,,,,,,
,,1,84.00,42.00,50.00,46.00,30.00,89.12,95.24,100.00,89.58,82.75,94.00,22.00,84.00,22.00,,,,,,,,,
,,2,64.00,32.67,38.00,30.00,30.00,89.12,100.00,100.00,87.50,82.75,92.00,22.00,64.00,22.00,,,,,,,,,
,,3,42.00,22.00,28.00,14.00,24.00,89.12,100.00,97.30,93.75,80.46,90.00,22.00,42.00,22.00,,,,,,,,,
,,4,34.00,18.67,24.00,18.00,14.00,87.56,100.00,100.00,93.75,75.86,90.00,22.00,34.00,22.00,,,,,,,,,
,,5,26.00,12.67,20.00,10.00,8.00,85.49,100.00,97.30,91.67,73.56,90.00,22.00,26.00,22.00,,,,,,,,,
