Model (LALM),Method,Attr.,Rel.,Gen.,,,,Audio Loc.,,,,,"Text 
Loc.",Port.
,,,,Avg,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,
,I-IKE,ALL,10.33,7.00,10.25,5.58,5.17,87.47,94.75,89.56,93.00,73.08,55.67,28.50
,,Animal,7.00,6.89,6.67,7.33,6.67,89.75,96.33,94.33,94.33,74.00,57.33,24.00
,,Emotion,19.33,13.11,19.67,9.00,10.67,82.75,97.00,78.00,83.33,72.67,58.00,22.00
,,Gender,9.67,3.00,8.67,0.33,0.00,88.67,94.33,N/A,99.00,72.67,57.33,45.00
,,Language,5.33,5.00,6.00,5.67,3.33,89.00,91.33,96.33,95.33,73.00,50.00,23.00
,IE-IKE,ALL,7.83,6.44,8.33,5.67,5.33,82.82,91.25,86.67,89.67,64.67,51.17,27.58
,,Animal,6.33,6.22,6.67,6.00,6.00,84.17,90.33,91.00,88.33,67.00,52.67,26.33
,,Emotion,9.00,11.56,11.67,10.67,12.33,79.50,96.67,76.33,80.33,64.67,54.33,21.67
,,Gender,11.00,3.78,10.67,0.67,0.00,83.44,89.00,N/A,99.00,62.33,52.00,40.00
,,Language,5.00,4.22,4.33,5.33,3.00,84.33,89.00,92.67,91.00,64.67,45.67,22.33
,WISE,ALL,,,,,,,,,,,,
,,Animal,,,,,,,,,,,,
,,Emotion,,,,,,,,,,,,
,,Gender,,,,,,,,,,,,
,,Language,,,,,,,,,,,,
Audio Flamingo 3,FT (LLM),ALL,100.00,93.31,96.67,94.17,89.08,87.67,98.00,69.89,85.42,92.92,97.00,31.67
,,Animal,100.00,91.67,92.33,97.33,85.33,89.83,98.33,79.33,89.67,92.00,95.67,29.00
,,Emotion,100.00,88.89,98.33,85.00,83.33,78.08,98.00,53.67,69.67,91.00,98.00,17.33
,,Gender,100.00,98.89,100.00,98.33,98.33,93.89,97.33,N/A,88.67,95.67,98.33,53.00
,,Language,100.00,93.78,96.00,96.00,89.33,90.42,98.33,76.67,93.67,93.00,96.00,27.33
