Model (LALM),Method,Gap,Rel.,Gen.,,,,Audio Loc.,,,,,Text Loc.,Port.
,,,,Avg.,Type 1,Type 2,Type 3,Avg.,Type 1,Type 2,Type 3,Type 4,,
,,1,36.00 (12.65),33.33 (16.63),30.00 (14.14),34.00 (16.47),36.00 (22.71),33.68 (13.37),34.00 (16.47),20.93 (24.81),36.00 (22.71),42.00 (23.94),60.00 (21.08),16.00 (18.38)
,,2,12.00 (16.87),14.67 (15.65),14.00 (18.97),14.00 (18.97),16.00 (15.78),29.53 (13.99),30.00 (19.44),30.23 (27.02),34.00 (16.47),24.00 (18.38),56.00 (26.33),4.00 (8.43)
,,3,8.00 (10.33),12.67 (11.95),14.00 (16.47),10.00 (10.54),14.00 (16.47),24.35 (13.35),26.00 (25.03),20.93 (14.15),26.00 (21.19),24.00 (22.71),40.00 (28.28),8.00 (13.98)
,,4,26.00 (31.34),14.00 (11.95),10.00 (14.14),18.00 (19.89),14.00 (13.50),21.24 (13.02),22.00 (19.89),30.23 (17.71),14.00 (13.50),20.00 (21.08),30.00 (21.60),6.00 (9.66)
,,5,8.00 (13.98),9.33 (10.04),4.00 (8.43),14.00 (21.19),10.00 (14.14),14.51 (6.86),22.00 (17.51),20.93 (12.12),12.00 (13.98),4.00 (8.43),38.00 (11.35),4.00 (8.43)
,UnKE,0,,,,,,,,,,,,
,,1,,,,,,,,,,,,
,,2,,,,,,,,,,,,
,,3,,,,,,,,,,,,
,,4,,,,,,,,,,,,
,,5,,,,,,,,,,,,
,IE-IKE,0,32.00 (19.32),30.00 (13.43),28.00 (16.87),30.00 (17.00),32.00 (13.98),59.07 (8.21),68.00 (21.50),48.84 (18.17),76.00 (18.38),42.00 (19.89),54.00 (28.36),28.00 (19.32)
,,1,26.00 (18.97),36.67 (19.69),36.00 (24.59),34.00 (18.97),40.00 (21.08),59.07 (10.26),64.00 (20.66),48.84 (20.42),76.00 (18.38),46.00 (25.03),58.00 (27.41),34.00 (25.03)
,,2,30.00 (17.00),35.33 (20.62),36.00 (26.33),32.00 (21.50),38.00 (19.89),58.03 (12.19),64.00 (22.71),46.51 (17.35),72.00 (21.50),48.00 (21.50),50.00 (25.39),32.00 (23.48)
,,3,32.00 (21.50),34.00 (17.34),30.00 (19.44),36.00 (18.38),36.00 (18.38),54.92 (5.30),66.00 (21.19),44.19 (16.47),74.00 (16.47),34.00 (13.50),58.00 (25.73),34.00 (18.97)
,,4,32.00 (21.50),39.33 (19.49),40.00 (24.94),38.00 (22.01),40.00 (21.08),52.85 (8.83),62.00 (25.73),46.51 (17.13),74.00 (16.47),28.00 (16.87),58.00 (22.01),38.00 (22.01)
,,5,26.00 (25.03),32.00 (19.32),34.00 (18.97),30.00 (21.60),32.00 (23.48),52.85 (10.89),62.00 (25.73),53.49 (21.51),74.00 (21.19),22.00 (14.76),56.00 (20.66),34.00 (16.47)
,I-IKE,0,58.00 (14.76),54.67 (7.57),54.00 (16.47),52.00 (13.98),58.00 (11.35),65.80 (9.48),76.00 (15.78),53.49 (17.55),74.00 (18.97),58.00 (19.89),52.00 (27.00),58.00 (27.41)
,,1,56.00 (12.65),50.67 (11.84),56.00 (22.71),48.00 (13.98),48.00 (13.98),60.62 (11.43),74.00 (18.97),51.16 (16.02),66.00 (21.19),50.00 (19.44),54.00 (18.97),52.00 (23.48)
,,2,56.00 (12.65),54.67 (10.33),62.00 (11.35),50.00 (19.44),52.00 (13.98),61.14 (10.67),70.00 (19.44),53.49 (12.43),68.00 (21.50),52.00 (25.30),66.00 (18.97),54.00 (23.19)
,,3,56.00 (12.65),52.00 (8.20),54.00 (13.50),48.00 (13.98),54.00 (13.50),62.18 (7.56),72.00 (16.87),46.51 (16.34),72.00 (23.48),56.00 (18.38),54.00 (16.47),46.00 (21.19)
,,4,62.00 (14.76),56.67 (9.03),60.00 (13.33),52.00 (13.98),58.00 (14.76),60.10 (8.31),70.00 (19.44),48.84 (15.47),74.00 (23.19),46.00 (18.97),54.00 (16.47),46.00 (23.19)
,,5,62.00 (17.51),56.67 (11.44),58.00 (19.89),58.00 (17.51),54.00 (13.50),59.07 (9.55),66.00 (21.19),51.16 (13.08),70.00 (21.60),48.00 (21.50),56.00 (26.33),52.00 (16.87)
,WISE,0,,,,,,,,,,,,
,,1,,,,,,,,,,,,
,,2,,,,,,,,,,,,
,,3,,,,,,,,,,,,
,,4,,,,,,,,,,,,
,,5,,,,,,,,,,,,
